Make,Model,Year,Body Type,Engine,Horsepower,Torque,MSRP (USD),City MPG,Highway MPG,0-60 mph (sec)
BMW,X3 M,2025,SUV,3.0L Turbo Inline-6,473 hp,457 lb-ft,73000,15,20,3.9
Audi,Q5 Sportback,2025,SUV,2.0L Turbo Inline-4,201 hp,236 lb-ft,52000,23,29,6.8
Tesla,Model 3 Long Range,2025,Sedan,Electric Motor,393 hp,400 lb-ft,47240,131,120,4.2
Nissan,Titan XD,2025,Truck,5.6L V8,400 hp,413 lb-ft,48000,15,20,6.5
Subaru,Outback Wilderness,2025,SUV,2.4L Turbo 4-Cylinder,260 hp,277 lb-ft,39000,22,26,7.5
Hyundai,Palisade SE,2025,SUV,3.8L V6,291 hp,262 lb-ft,38000,19,27,7.1
Kia,Stinger GT-Line,2025,Sedan,2.5L Turbo I-4,300 hp,311 lb-ft,42000,22,32,5.2
Toyota,RAV4 Hybrid,2025,SUV,2.5L 4-Cylinder Hybrid,219 hp,163 lb-ft,32000,41,38,7.8
Ford,Escape Plug-in Hybrid,2025,SUV,2.5L Hybrid,221 hp,155 lb-ft,35000,105,100,8.0
Chevrolet,Blazer EV,2025,SUV,Electric Motor,240 hp,300 lb-ft,45000,103,88,6.0
BMW,X5 M,2025,SUV,4.4L Turbo V8,617 hp,553 lb-ft,110000,13,18,3.7
Audi,A4 Allroad,2025,Wagon,2.0L Turbo I-4,261 hp,273 lb-ft,46000,24,30,5.8
Tesla,Model S Standard,2025,Sedan,Electric Motor,670 hp,723 lb-ft,74990,120,114,3.1
Nissan,Sentra SV,2025,Sedan,2.0L 4-Cylinder,149 hp,146 lb-ft,22000,29,39,9.0
Subaru,Crosstrek Sport,2025,SUV,2.5L 4-Cylinder,182 hp,176 lb-ft,28000,26,33,8.7
Hyundai,Elantra SEL,2025,Sedan,2.0L 4-Cylinder,147 hp,132 lb-ft,23000,31,41,8.5
Kia,Sorento Hybrid,2025,SUV,1.6L Turbo Hybrid,227 hp,258 lb-ft,37000,39,35,8.0
Toyota,Highlander Hybrid,2025,SUV,2.5L 4-Cylinder Hybrid,243 hp,175 lb-ft,42000,36,35,7.5
Ford,Explorer Limited,2025,SUV,2.3L EcoBoost I-4,300 hp,310 lb-ft,49000,21,28,6.0
Chevrolet,Tahoe Z71,2025,SUV,5.3L V8,355 hp,383 lb-ft,63000,15,20,7.0
BMW,5 Series xDrive,2025,Sedan,2.0L Turbo Inline-4,255 hp,295 lb-ft,59500,27,35,5.7
Audi,A6 Allroad,2025,Wagon,3.0L Turbo V6,335 hp,369 lb-ft,70000,21,28,5.1
Tesla,Model X Long Range,2025,SUV,Electric Motor,670 hp,723 lb-ft,79990,102,99,3.8
Nissan,Pathfinder Rock Creek,2025,SUV,3.5L V6,295 hp,270 lb-ft,44000,21,27,6.7
Subaru,Impreza RS,2025,Hatchback,2.5L 4-Cylinder,182 hp,178 lb-ft,27000,26,34,8.5
Hyundai,Santa Fe Hybrid,2025,SUV,1.6L Turbo Hybrid,226 hp,258 lb-ft,41000,36,31,7.8
Kia,Carnival SX,2025,Minivan,3.5L V6,290 hp,262 lb-ft,46000,19,26,8.5
Toyota,Tundra Hybrid,2025,Truck,3.4L Twin-Turbo V6 Hybrid,437 hp,583 lb-ft,56000,20,24,5.7
Ford,Edge ST,2025,SUV,2.7L EcoBoost V6,335 hp,380 lb-ft,47000,19,26,6.0
Chevrolet,Trailblazer RS,2025,SUV,1.3L Turbo I-3,155 hp,174 lb-ft,26000,29,33,8.7
BMW,4 Series Gran Coupe,2025,Sedan,2.0L Turbo Inline-4,255 hp,295 lb-ft,53000,25,34,5.5
Audi,A5 Sportback,2025,Sedan,2.0L Turbo I-4,201 hp,236 lb-ft,46000,24,33,6.4
Tesla,Model 3 Rear-Wheel Drive,2025,Sedan,Electric Motor,283 hp,310 lb-ft,40240,132,125,5.8
Nissan,Versa S,2025,Sedan,1.6L 4-Cylinder,122 hp,114 lb-ft,18000,32,40,9.7
Subaru,WRX Premium,2025,Sedan,2.4L Turbo 4-Cylinder,271 hp,258 lb-ft,35000,19,26,5.5
Hyundai,Sonata Hybrid,2025,Sedan,2.0L Hybrid,192 hp,139 lb-ft,30000,45,51,8.5
Kia,K5 GT-Line,2025,Sedan,1.6L Turbo I-4,180 hp,195 lb-ft,28000,29,38,7.0
Toyota,Corolla Hybrid,2025,Sedan,1.8L Hybrid,138 hp,105 lb-ft,24000,50,47,9.0
Ford,Maverick Hybrid,2025,Truck,2.5L Hybrid I-4,191 hp,155 lb-ft,25000,42,33,7.9
Chevrolet,Colorado Z71,2025,Truck,2.7L Turbo I-4,310 hp,430 lb-ft,38000,18,23,6.5
BMW,i4 eDrive35,2025,Sedan,Electric Motor,282 hp,295 lb-ft,50000,109,108,5.8
Audi,Q4 Sportback e-tron,2025,SUV,Electric Motor,201 hp,229 lb-ft,53000,100,89,7.9
Tesla,Cybertruck Tri-Motor,2025,Truck,Electric Motor,800 hp,900 lb-ft,80990,95,90,2.9
Nissan,Frontier PRO-4X,2025,Truck,3.8L V6,310 hp,281 lb-ft,41000,17,22,7.9
Subaru,Ascent Touring,2025,SUV,2.4L Turbo 4-Cylinder,260 hp,277 lb-ft,45000,20,26,7.3
Hyundai,Venue SEL,2025,SUV,1.6L 4-Cylinder,121 hp,113 lb-ft,22000,29,33,10.0
Kia,Soul GT-Line,2025,Hatchback,2.0L 4-Cylinder,147 hp,132 lb-ft,23000,28,33,8.8
Toyota,Venza Hybrid,2025,SUV,2.5L 4-Cylinder Hybrid,219 hp,163 lb-ft,35000,40,37,7.6
Ford,Mustang Mach-E GT,2025,SUV,Electric Motor,480 hp,634 lb-ft,59000,90,77,3.5
Chevrolet,Corvette Z06,2025,Coupe,5.5L V8,670 hp,460 lb-ft,110000,12,17,2.6
BMW,X7 xDrive40i,2025,SUV,3.0L Turbo Inline-6,375 hp,398 lb-ft,81000,21,25,5.8
Audi,A7 Sportback,2025,Sedan,3.0L Turbo V6,335 hp,369 lb-ft,70000,21,30,5.2
Tesla,Model Y Standard,2025,SUV,Electric Motor,283 hp,310 lb-ft,45240,127,117,5.8
Nissan,Kicks SR,2025,SUV,1.6L 4-Cylinder,122 hp,114 lb-ft,24000,31,36,9.5
Subaru,Solterra Limited,2025,SUV,Electric Motor,215 hp,249 lb-ft,48000,114,94,6.5
Hyundai,Ioniq 5 SE,2025,SUV,Electric Motor,168 hp,258 lb-ft,43000,127,94,7.4
Kia,Niro Hybrid,2025,SUV,1.6L Hybrid,139 hp,195 lb-ft,28000,53,48,9.5
Toyota,Sequoia Platinum,2025,SUV,3.4L Twin-Turbo V6 Hybrid,437 hp,583 lb-ft,80000,20,22,6.0
Ford,F-250 Super Duty Lariat,2025,Truck,6.7L V8 Diesel,475 hp,1050 lb-ft,65000,15,20,7.0
Chevrolet,Silverado 1500 RST,2025,Truck,5.3L V8,355 hp,383 lb-ft,42000,16,21,6.5
BMW,i7 xDrive60,2025,Sedan,Electric Motor,536 hp,549 lb-ft,120000,87,88,4.5
Audi,Q8 Sportback e-tron,2025,SUV,Electric Motor,402 hp,490 lb-ft,78000,90,87,5.5
Tesla,Model X Plaid,2025,SUV,Electric Motor,1020 hp,1050 lb-ft,94990,102,99,2.5
Nissan,Z Performance,2025,Coupe,3.0L Twin-Turbo V6,400 hp,350 lb-ft,52000,18,24,4.5
Subaru,WRX GT,2025,Sedan,2.4L Turbo 4-Cylinder,271 hp,258 lb-ft,44000,19,26,5.5
Hyundai,Santa Cruz SEL,2025,Truck,2.5L 4-Cylinder,191 hp,181 lb-ft,29000,22,26,7.5
Kia,Telluride SX Prestige,2025,SUV,3.8L V6,291 hp,262 lb-ft,54000,20,26,7.5
Toyota,Corolla Cross Hybrid,2025,SUV,2.0L 4-Cylinder Hybrid,194 hp,139 lb-ft,29000,45,43,8.0
Ford,Escape ST-Line,2025,SUV,1.5L EcoBoost I-3,181 hp,190 lb-ft,31000,28,34,8.7
Chevrolet,Blazer RS,2025,SUV,3.6L V6,308 hp,270 lb-ft,42000,19,27,6.3
BMW,X3 M40i,2025,SUV,3.0L Turbo Inline-6,382 hp,369 lb-ft,62000,21,26,4.4
Audi,Q3 S Line,2025,SUV,2.0L Turbo I-4,228 hp,258 lb-ft,42000,22,30,7.0
Tesla,Model 3 Long Range AWD,2025,Sedan,Electric Motor,393 hp,400 lb-ft,47240,131,120,4.2
Nissan,Rogue SL,2025,SUV,1.5L VC-Turbo I-3,201 hp,225 lb-ft,34000,30,37,8.0
Subaru,Forester Premium,2025,SUV,2.5L 4-Cylinder,182 hp,176 lb-ft,30000,26,33,8.7
Hyundai,Tucson N Line,2025,SUV,2.5L 4-Cylinder,187 hp,178 lb-ft,33000,25,32,8.8
Kia,Sorento EX,2025,SUV,2.5L 4-Cylinder,191 hp,181 lb-ft,35000,24,29,8.5
Toyota,RAV4 TRD Off-Road,2025,SUV,2.5L 4-Cylinder,203 hp,184 lb-ft,38000,25,32,8.3
Ford,Mustang Dark Horse,2025,Coupe,5.0L V8,500 hp,418 lb-ft,58000,14,22,4.0
Chevrolet,Malibu LT,2025,Sedan,1.5L Turbo I-4,160 hp,184 lb-ft,27000,27,35,8.2
BMW,X1 xDrive28i,2025,SUV,2.0L Turbo I-4,241 hp,295 lb-ft,41000,25,34,6.2
Audi,A3 S Line,2025,Sedan,2.0L Turbo I-4,201 hp,221 lb-ft,38000,29,38,6.3
Tesla,Model Y Long Range AWD,2025,SUV,Electric Motor,384 hp,420 lb-ft,50240,127,117,4.8
Nissan,Pathfinder Platinum,2025,SUV,3.5L V6,284 hp,259 lb-ft,50000,21,27,6.7
Subaru,Outback Limited,2025,SUV,2.5L 4-Cylinder,182 hp,176 lb-ft,34000,26,32,8.6
Hyundai,Palisade Limited,2025,SUV,3.8L V6,291 hp,262 lb-ft,47000,19,27,7.1
Kia,Sportage X-Pro,2025,SUV,2.5L 4-Cylinder,187 hp,178 lb-ft,37000,23,28,9.0
Toyota,Highlander XLE,2025,SUV,2.4L Turbo I-4,265 hp,310 lb-ft,43000,22,29,7.5
Ford,Explorer XLT,2025,SUV,2.3L EcoBoost I-4,300 hp,310 lb-ft,40000,21,28,6.0
Chevrolet,Equinox LT,2025,SUV,1.5L Turbo I-4,175 hp,203 lb-ft,29000,26,31,8.7
BMW,i5 M60,2025,Sedan,Electric Motor,590 hp,586 lb-ft,85000,98,90,3.7
Audi,e-tron GT Prestige,2025,Sedan,Electric Motor,522 hp,472 lb-ft,110000,81,83,3.9
Tesla,Model S Plaid,2025,Sedan,Electric Motor,1020 hp,1050 lb-ft,89990,113,103,2.1
Nissan,Armada SL,2025,SUV,5.6L V8,400 hp,413 lb-ft,60000,14,19,7.0
Subaru,Legacy Sport,2025,Sedan,2.4L Turbo 4-Cylinder,260 hp,277 lb-ft,34000,24,31,6.1
Hyundai,Kona SEL,2025,SUV,2.0L 4-Cylinder,147 hp,132 lb-ft,26000,29,34,9.2
Kia,K5 GT,2025,Sedan,2.5L Turbo I-4,290 hp,311 lb-ft,31000,24,32,5.7
Toyota,Tundra Limited,2025,Truck,3.4L Twin-Turbo V6,389 hp,479 lb-ft,54000,18,24,6.0
Ford,Edge Titanium,2025,SUV,2.0L EcoBoost I-4,250 hp,280 lb-ft,42000,21,28,7.0
Chevrolet,Traverse Z71,2025,SUV,2.5L Turbo I-4,328 hp,326 lb-ft,46000,20,26,7.0
BMW,X7 M60i,2025,SUV,4.4L Turbo V8,523 hp,553 lb-ft,103000,18,21,4.5
Audi,Q8 e-tron Premium,2025,SUV,Electric Motor,402 hp,490 lb-ft,75000,90,87,5.5
Tesla,Model X Long Range,2025,SUV,Electric Motor,670 hp,723 lb-ft,79990,102,99,3.8
Nissan,Titan Platinum Reserve,2025,Truck,5.6L V8,400 hp,413 lb-ft,63000,16,21,6.0
Subaru,BRZ Premium,2025,Coupe,2.4L 4-Cylinder,228 hp,184 lb-ft,31000,20,27,6.0
Hyundai,Tucson Limited,2025,SUV,2.5L 4-Cylinder,187 hp,178 lb-ft,37000,25,32,8.8
Kia,Sorento SX,2025,SUV,2.5L 4-Cylinder,191 hp,181 lb-ft,40000,24,29,8.5
Toyota,Sequoia Limited,2025,SUV,3.4L Twin-Turbo V6 Hybrid,437 hp,583 lb-ft,69000,20,22,6.0
Ford,Bronco Badlands,2025,SUV,2.7L EcoBoost V6,330 hp,415 lb-ft,48000,17,19,6.5
Chevrolet,Blazer RS,2025,SUV,3.6L V6,308 hp,270 lb-ft,42000,19,27,6.3
BMW,i4 M50,2025,Sedan,Electric Motor,536 hp,586 lb-ft,69000,94,89,3.7
Audi,Q4 e-tron 50,2025,SUV,Electric Motor,295 hp,339 lb-ft,55000,100,89,6.0
Tesla,Cybertruck Dual Motor AWD,2025,Truck,Electric Motor,600 hp,700 lb-ft,60990,98,95,4.1
Nissan,Rogue SV,2025,SUV,1.5L VC-Turbo I-3,201 hp,225 lb-ft,31000,30,37,8.0
Subaru,Outback Onyx Edition,2025,SUV,2.4L Turbo 4-Cylinder,260 hp,277 lb-ft,39000,22,29,7.5
Hyundai,Palisade SEL,2025,SUV,3.8L V6,291 hp,262 lb-ft,42000,19,27,7.1
Kia,Sportage SX Prestige,2025,SUV,2.5L 4-Cylinder,187 hp,178 lb-ft,35000,25,32,8.8
Toyota,RAV4 XLE,2025,SUV,2.5L 4-Cylinder,203 hp,184 lb-ft,32000,27,35,8.0
Ford,Mustang GT Premium,2025,Coupe,5.0L V8,480 hp,415 lb-ft,47000,15,24,4.3
Chevrolet,Malibu RS,2025,Sedan,1.5L Turbo I-4,160 hp,184 lb-ft,26000,27,35,8.2
BMW,X3 xDrive30i,2025,SUV,2.0L Turbo Inline-4,248 hp,258 lb-ft,48000,23,29,6.0
Audi,A3 Premium,2025,Sedan,2.0L Turbo I-4,201 hp,221 lb-ft,36000,29,38,6.3
Tesla,Model 3 Performance,2025,Sedan,Electric Motor,455 hp,470 lb-ft,55000,113,109,3.5
Nissan,Sentra SR,2025,Sedan,2.0L 4-Cylinder,149 hp,146 lb-ft,24000,28,37,8.8
Subaru,Crosstrek Limited,2025,SUV,2.5L 4-Cylinder,182 hp,176 lb-ft,32000,26,33,8.7
Hyundai,Elantra Limited,2025,Sedan,2.0L 4-Cylinder,147 hp,132 lb-ft,25000,31,41,8.5
Kia,Seltos SX,2025,SUV,1.6L Turbo I-4,195 hp,195 lb-ft,30000,27,31,7.0
Toyota,Corolla LE,2025,Sedan,2.0L 4-Cylinder,169 hp,151 lb-ft,24000,32,41,8.5
